 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 1.025  0.77132 -1.36830
 1.030  0.76442 -1.38866
 1.035  0.75743 -1.40887
 1.040  0.75033 -1.42893
 1.045  0.74314 -1.44883
 1.050  0.73585 -1.46857
 1.055  0.72845 -1.48814
 1.060  0.72096 -1.50756
 1.065  0.71338 -1.52680
 1.070  0.70570 -1.54588
 1.075  0.69792 -1.56478
 1.080  0.69005 -1.58351
 1.085  0.68208 -1.60206
 1.090  0.67403 -1.62043
 1.095  0.66588 -1.63862
 1.100  0.65764 -1.65663
 1.105  0.64931 -1.67445
 1.110  0.64090 -1.69208
 1.115  0.63239 -1.70952
 1.120  0.62380 -1.72676
 1.125  0.61513 -1.74381
 1.130  0.60636 -1.76066
 1.135  0.59752 -1.77731
 1.140  0.58859 -1.79375
 1.145  0.57958 -1.80999
 1.150  0.57049 -1.82602
 1.155  0.56132 -1.84185
 1.160  0.55207 -1.85746
 1.165  0.54275 -1.87286
 1.170  0.53334 -1.88804
 1.175  0.52387 -1.90300
 1.180  0.51431 -1.91774
 1.185  0.50469 -1.93227
 1.190  0.49499 -1.94656
 1.195  0.48522 -1.96063
 1.200  0.47538 -1.97448
 1.205  0.46548 -1.98809
 1.210  0.45550 -2.00147
 1.215  0.44546 -2.01462
 1.220  0.43536 -2.02753
 1.225  0.42519 -2.04021
 1.230  0.41496 -2.05264
 1.235  0.40466 -2.06484
 1.240  0.39431 -2.07679
 1.245  0.38389 -2.08850
 1.250  0.37342 -2.09996
 1.255  0.36289 -2.11117
 1.260  0.35231 -2.12214
 1.265  0.34167 -2.13285
 1.270  0.33098 -2.14332
 1.275  0.32024 -2.15353
 1.280  0.30945 -2.16348
 1.285  0.29860 -2.17318
 1.290  0.28772 -2.18261
 1.295  0.27678 -2.19179
 1.300  0.26580 -2.20071
 1.305  0.25477 -2.20937
 1.310  0.24370 -2.21776
 1.315  0.23259 -2.22589
 1.320  0.22144 -2.23375
 1.325  0.21026 -2.24134
 1.330  0.19903 -2.24867
 1.335  0.18777 -2.25573
 1.340  0.17647 -2.26251
 1.345  0.16514 -2.26903
 1.350  0.15378 -2.27527
 1.355  0.14239 -2.28124
 1.360  0.13097 -2.28693
 1.365  0.11952 -2.29235
 1.370  0.10805 -2.29749
 1.375  0.09655 -2.30235
 1.380  0.08502 -2.30694
 1.385  0.07348 -2.31124
 1.390  0.06191 -2.31527
 1.395  0.05033 -2.31902
 1.400  0.03872 -2.32248
 1.405  0.02710 -2.32566
 1.410  0.01547 -2.32856
 1.415  0.00382 -2.33118
 1.420 -0.00785 -2.33351
 1.425 -0.01952 -2.33556
 1.430 -0.03120 -2.33733
 1.435 -0.04289 -2.33880
 1.440 -0.05459 -2.34000
 1.445 -0.06629 -2.34091
 1.450 -0.07800 -2.34153
 1.455 -0.08971 -2.34186
 1.460 -0.10142 -2.34191
 1.465 -0.11313 -2.34167
 1.470 -0.12483 -2.34114
 1.475 -0.13654 -2.34032
 1.480 -0.14824 -2.33922
 1.485 -0.15993 -2.33783
 1.490 -0.17162 -2.33615
 1.495 -0.18329 -2.33418
 1.500 -0.19496 -2.33193
 1.505 -0.20661 -2.32939
